Città,eNb,Nomesito,Primorilevamento,Latitudine,Longitudine,Bande
"Vinchiaturo, Molise",803944,Vinchiaturo,30.01.21,41.4701387, 14.562164,~B3~
"Monteroduni, Molise",803943,Monteroduni ZI,28.01.21,41.54277,14.155069,~B20~
"Guardialfiera, Molise",310414,Guardialfiera Strada Comunale del Bosco,02.04.21,41.8086870,14.7854280,~B20~
"Conca Casale, Molise",310390,Conca Casale Piazza Municipio,17.01.21,41.4943,14.00671,~B20~
"Vastogirardi, Molise",310362,Vastogirardi Via Giuseppe Mazzini,13.11.20,41.77481692100864,14.260808994659477,~B1~~B3~
"Tufara, Molise",310356,Tufara SP61,06.12.20,41.482087,14.941906,~B20~
"Casacalenda, Molise",310309,Casacalenda SP 73b,11.06.20,41.791840901446,14.815009832382,~B3~~B20~
"Larino, Molise",310303,Larino Via F. de Curtis,20.02.20,41.802193,14.922631,~B20~
"Trivento, Molise",310277,Trivento Via de Lellis,10.12.19,41.784294074536,14.550238251686,~B3~
"Isernia, Molise",310275,Macchia d&rsquo;Isernia,19.09.20,41.588543575, 14.191508675,~B1~~B3~
"Campomarino, Molise",310253,Campomarino Corso Skanderberg,07.11.19,41.957422726551,15.035634934902,~B1~
"Petacciato, Molise",310228,Petacciato Marina Colle Calcioni Via F. Barba,18.12.19,42.036200677601,14.830622971058,~B3~
"San Giuliano di Puglia, Molise",310197,San Giuliano di Puglia C.da Montana,17.10.19,41.678131,14.961373,~B20~
"Acquaviva d'Isernia, Molise",310183,Acquaviva d&#039;Isernia Cimitero,17.12.19,41.679749,14.150203,~B20~
"Macchia d&rsquo;Isernia, Molise",310165,Isernia Loc. Piana di Macchia,10.08.19,41.563195,14.181889,~B3~
"Campolieto, Molise",310164,Campolieto SP 133 C.da S.Salvatore,22.10.19,41.629742,14.758153,~B20~
"Baranello, Molise",310163,Baranello SC Piana Canale,28.05.20,41.520714,14.554077,~B20~
"Campodipietra, Molise",310159,Campodipietra C.da Colle Ventura,31.07.19,41.555956,14.754763,~B20~
"Palata, Molise",310153,Palata Contrada Monte,02.12.19,41.885988,14.801073,~B3~~B20~
"Macchiagodena, Molise",310136,Macchiagodena,02.10.20,41.53137, 14.4067479,~B3~~B20~
"Lucito, Molise",310131,Lucito Contrada Valle Mazzano,02.07.19,41705,14.658798,~B3~
"Carovilli, Molise",310130,Carovilli Via Vaglie,02.07.19,41.717386,14.297646,~B20~
"Guglionesi, Molise",310106,Guglionesi Telecom CR Via De Sanctis,15.11.19,41.910757876963,14.913673549891,~B20~
"Venafro, Molise",310094,Venafro SP28,10.03.20,41.443175,14.020054,~B20~
"Montemitro, Molise",302805,Montemitro SP 98,29.04.20,41.893746,14.642115,~B20~
"Mafalda, Molise",302782,Mafalda Via Toscana,15.09.20,41.941057901074,14.708931148052,~B1~~B3~~B20~
"Campobasso, Molise",302764,Campobasso Piazza Vittorio Emanuele II,22.10.19,41.558506,14.658897,~B1~
"San Martino in Pensilis, Molise",302725,Portocannone SC Pozzo Basso,26.02.20,41.909335443066,15.003286581793,~B20~
"Isernia, Molise",302700,Isernia Municipio P.zza Marconi,22.10.19,41.587753,14.225906,~B1~~B3~
"Montenero di Bisaccia, Molise",302699,Montenero di Bisaccia Via Argentieri,13.12.19,41.959398350102,14.782788455486,~B3~
"Palata, Molise",302698,Palata Diga del Liscione,28.09.19,41.838117,14.850283,~B3~
"Isernia, Molise",302521,Isernia Brecelle,15.12.18,41.586544,14.199578,~B1~~B3~~B20~
"Monteroduni, Molise",302476,Monteroduni ZI,19.11.18,41.54277,14.155069,~B20~
"Roccavivara, Molise",302466,Roccavivara Contrada Preci,02.12.18,41.83889,14.597222,~B20~
"Termoli, Molise",302429,Termoli Colle Macchiuzzo,19.11.18,41.985882,14.983119,~B1~~B3~
"Venafro, Molise",302405,Pozzilli Z.I. C.da Camerelle,02.07.18,41.501698,14.086289,~B20~
"Bojano, Molise",302393,Bojano Via Molise,17.06.18,41.487312,14.476811,~B20~
